app_snapshot_key,genre_key,weight,inserted_at
1,18,1.000000000000,2026-05-09 20:49:58.217644+00
2,12,0.500000000000,2026-05-09 20:49:58.217644+00
2,18,0.500000000000,2026-05-09 20:49:58.217644+00
3,18,1.000000000000,2026-05-09 20:49:58.217644+00
4,18,1.000000000000,2026-05-09 20:49:58.217644+00
5,18,0.500000000000,2026-05-09 20:49:58.217644+00
5,34,0.500000000000,2026-05-09 20:49:58.217644+00
6,18,1.000000000000,2026-05-09 20:49:58.217644+00
7,18,1.000000000000,2026-05-09 20:49:58.217644+00
8,18,1.000000000000,2026-05-09 20:49:58.217644+00
9,18,1.000000000000,2026-05-09 20:49:58.217644+00
10,18,0.500000000000,2026-05-09 20:49:58.217644+00
10,34,0.500000000000,2026-05-09 20:49:58.217644+00
11,18,1.000000000000,2026-05-09 20:49:58.217644+00
12,18,1.000000000000,2026-05-09 20:49:58.217644+00
13,18,1.000000000000,2026-05-09 20:49:58.217644+00
14,18,1.000000000000,2026-05-09 20:49:58.217644+00
15,18,1.000000000000,2026-05-09 20:49:58.217644+00
16,18,1.000000000000,2026-05-09 20:49:58.217644+00
17,18,1.000000000000,2026-05-09 20:49:58.217644+00
18,18,1.000000000000,2026-05-09 20:49:58.217644+00
19,18,1.000000000000,2026-05-09 20:49:58.217644+00
20,18,1.000000000000,2026-05-09 20:49:58.217644+00
21,18,1.000000000000,2026-05-09 20:49:58.217644+00
22,18,1.000000000000,2026-05-09 20:49:58.217644+00
23,18,1.000000000000,2026-05-09 20:49:58.217644+00
24,18,0.500000000000,2026-05-09 20:49:58.217644+00
24,21,0.500000000000,2026-05-09 20:49:58.217644+00
25,18,1.000000000000,2026-05-09 20:49:58.217644+00
26,18,1.000000000000,2026-05-09 20:49:58.217644+00
27,18,0.500000000000,2026-05-09 20:49:58.217644+00
27,34,0.500000000000,2026-05-09 20:49:58.217644+00
28,18,1.000000000000,2026-05-09 20:49:58.217644+00
29,18,1.000000000000,2026-05-09 20:49:58.217644+00
30,18,1.000000000000,2026-05-09 20:49:58.217644+00
31,18,1.000000000000,2026-05-09 20:49:58.217644+00
32,18,1.000000000000,2026-05-09 20:49:58.217644+00
33,18,1.000000000000,2026-05-09 20:49:58.217644+00
34,18,1.000000000000,2026-05-09 20:49:58.217644+00
35,18,1.000000000000,2026-05-09 20:49:58.217644+00
36,18,1.000000000000,2026-05-09 20:49:58.217644+00
37,18,0.500000000000,2026-05-09 20:49:58.217644+00
37,34,0.500000000000,2026-05-09 20:49:58.217644+00
38,18,1.000000000000,2026-05-09 20:49:58.217644+00
